id,time,end,type,sc_id,source,orbit,description,discussion,tag
45534,"2015-10-25 03:57:12 UTC","2015-10-25 16:22:37 UTC",sitl_report,mms,SITL,227,"Generated: Bow shock... Bz current sheet in a foreshock region... Bz current sheet in foreshock-like region... FTE... FTE-like signature in the foreshock... Low shear MP... Low shear MP adjacent to PDL... Low shear MP crossing... Low shear MP with PDL and fast flow... Low shear MP with large-scale flow signature... Low shear partial MP... Low shear partial MP ... Low-shear complete MP crossing adjacent to Plasma Depletion Layer (PDL) with jet... Low-shear partial MP... Low-shear partial MP with sharp By CS in boundary layer (BL)... Magnetic field rotations in foreshock region... Magnetosheath CS... Magnetosheath current sheet... Msheath field rotation with flow variation... Msheath field rotations... Multiple field rotations in foreshock... Multiple field rotations in foreshock region... Multiple field rotations near quasi-parallel shock... Multiple msheath field rotations... Multiple sharp Bfield rotations in foreshock-like region... Multiple sharp field rotations adjacent to bow shock... Multiple sharp fiel",undefined,null
45508,"2015-10-25 10:46:44 UTC","2015-10-25 10:47:44 UTC",burst_segment,mms,Burst,227,"Sharp magnetic field fluctuations near quasi-parallel shock region",undefined,null
45545,"2015-10-25 10:48:54 UTC","2015-10-25 10:50:34 UTC",burst_segment,mms,Burst,227,"Sharp field rotations near quasi-parallel shock",undefined,null
45510,"2015-10-25 10:52:14 UTC","2015-10-25 10:53:14 UTC",burst_segment,mms,Burst,227,"Sharp field rotations in quasi-parallel shock",undefined,null
45548,"2015-10-25 10:54:04 UTC","2015-10-25 10:55:14 UTC",burst_segment,mms,Burst,227,"Sharp field rotations near quasi-parallel shock",undefined,null
45512,"2015-10-25 10:57:04 UTC","2015-10-25 10:59:24 UTC",burst_segment,mms,Burst,227,"Sharp field rotations in quasi-parallel shock",undefined,null
45551,"2015-10-25 11:02:54 UTC","2015-10-25 11:05:04 UTC",burst_segment,mms,Burst,227,"Multiple field rotations near quasi-parallel shock",undefined,null
45552,"2015-10-25 11:06:14 UTC","2015-10-25 11:09:34 UTC",burst_segment,mms,Burst,227,"Sharp field rotations in quasi-parallel shock",undefined,null
45554,"2015-10-25 11:10:24 UTC","2015-10-25 11:12:54 UTC",burst_segment,mms,Burst,227,"Multiple field rotations near quasi-parallel shock",undefined,null
45556,"2015-10-25 11:16:24 UTC","2015-10-25 11:18:54 UTC",burst_segment,mms,Burst,227,"Multiple field rotations near quasi-parallel shock",undefined,null
45559,"2015-10-25 11:25:04 UTC","2015-10-25 11:29:14 UTC",burst_segment,mms,Burst,227,"Multiple field rotations near quasi-parallel shock",undefined,null
46547,"2015-11-27 00:14:26 UTC","2015-11-27 13:59:47 UTC",sitl_report,mms,SITL,260,"Generated:  Bow Shock Crossing...  Bow Shock Crossing ...  Bow Shock Crossing - from the way it disrupts the magnetosheath I expect it to be  a quasi-parallel shock...  Bow Shock Crossing - with energetic particles...  Bow Shock Crossing with energetic particles...  Bow Shock Crossings - quasi-parallel shock...  MP Crossing - southward ion jet...  MP Crossing - switching ion jets...  Magnetosheath FTE signature...  bow shock crossing...  bow shock crossings...  magnetosheath reconnection jet event...  partial MP Crosing - southward ion jet...  partial MP Crossing - southward ion jets...  partial MP Crossings - southward ion jet...  partial MP Crosssings - switching ion beams...  several Bow Shock Crossings... partial MP crossing",undefined,null
46539,"2015-11-27 07:01:44 UTC","2015-11-27 07:05:34 UTC",burst_segment,mms,Burst,260,"Bow Shock Crossing - from the way it disrupts the magnetosheath I expect it to be  a quasi-parallel shock",undefined,null
