id,time,end,type,sc_id,source,orbit,description,discussion,tag
46588,"2015-11-30 03:43:24 UTC","2015-11-30 03:45:44 UTC",burst_segment,mms,Burst,263,SLAMS,undefined,null
46626,"2015-12-01 09:29:24 UTC","2015-12-01 09:29:44 UTC",burst_segment,mms,Burst,264,SLAMS,undefined,null
46805,"2015-12-06 04:57:04 UTC","2015-12-06 04:57:34 UTC",burst_segment,mms,Burst,269,SLAMS,undefined,null
46834,"2015-12-07 07:10:54 UTC","2015-12-07 07:11:24 UTC",burst_segment,mms,Burst,270,SLAMS,undefined,null
46936,"2015-12-10 06:10:14 UTC","2015-12-10 06:10:44 UTC",burst_segment,mms,Burst,273,SLAMS,undefined,null
48560,"2016-01-27 03:02:04 UTC","2016-01-27 03:03:54 UTC",burst_segment,mms,Burst,321,"foreshock/BS crossing, small-scale B structures (possibly SLAMS), reflected ions, strong E & B waves",undefined,null
96283,"2016-12-11 09:37:44 UTC","2016-12-11 09:38:44 UTC",burst_segment,mms,Burst,642,"MSH SLAMS",undefined,null
65933,"2016-12-17 12:27:04 UTC","2016-12-17 12:28:04 UTC",burst_segment,mms,Burst,648,SLAMS,undefined,null
65934,"2016-12-17 12:36:44 UTC","2016-12-17 12:40:24 UTC",burst_segment,mms,Burst,648,SLAMS,undefined,null
65935,"2016-12-17 12:55:04 UTC","2016-12-17 12:55:44 UTC",burst_segment,mms,Burst,648,SLAMS,undefined,null
65962,"2016-12-17 13:25:54 UTC","2016-12-17 13:27:34 UTC",burst_segment,mms,Burst,648,SLAMS,undefined,null
96445,"2016-12-21 12:41:14 UTC","2016-12-21 12:42:14 UTC",burst_segment,mms,Burst,652,SLAMS,undefined,null
95323,"2016-12-21 13:29:14 UTC","2016-12-21 13:31:24 UTC",burst_segment,mms,Burst,652,SLAMSs,undefined,null
68962,"2016-12-21 13:41:24 UTC","2016-12-21 13:42:04 UTC",burst_segment,mms,Burst,652,SLAMSs,undefined,null
96314,"2016-12-21 13:45:04 UTC","2016-12-21 13:45:54 UTC",burst_segment,mms,Burst,652,SLAMSs,undefined,null
73486,"2016-12-21 13:56:14 UTC","2016-12-21 13:57:24 UTC",burst_segment,mms,Burst,652,SLAMSs,undefined,null
66650,"2016-12-23 08:48:54 UTC","2016-12-23 08:49:24 UTC",burst_segment,mms,Burst,654,SLAMSs,undefined,null
95625,"2017-03-02 19:12:33 UTC","2017-03-02 19:13:03 UTC",burst_segment,mms,Burst,720,"Solar wind SLAMS (MMS4)",undefined,null
